id,categories
1,MEDICATION RELATED
2,NEW APPOINTMENT
3,MEDICATION RELATED
4,QUERIES FROM PHARMACY
5,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
6,MEDICATION RELATED
7,MEDICATION RELATED
8,MEDICATION RELATED
9,RESCHEDULING
10,MEDICATION RELATED
11,NEW APPOINTMENT
12,NEW APPOINTMENT
13,LAB RESULTS
14,LAB RESULTS
15,OTHERS
16,REFILL
17,REFILL
18,PROVIDER
19,LAB RESULTS
20,MEDICATION RELATED
21,MEDICATION RELATED
22,NEW APPOINTMENT
23,REFILL
24,REFILL
25,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
26,PROVIDER
27,REFILL
28,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
29,PRIOR AUTHORIZATION
30,REFILL
31,OTHERS
32,SYMPTOMS
33,OTHERS
34,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
35,OTHERS
36,QUERIES FROM PHARMACY
37,PRIOR AUTHORIZATION
38,NEW APPOINTMENT
39,REFILL
40,CANCELLATION
41,MEDICATION RELATED
42,LAB RESULTS
43,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
44,MEDICATION RELATED
45,REFILL
46,MEDICATION RELATED
47,NEW APPOINTMENT
48,PROVIDER
49,NEW APPOINTMENT
50,OTHERS
51,FOLLOW UP ON PREVIOUS REQUEST
52,MEDICATION RELATED
53,OTHERS
54,REFILL
55,REFILL
56,MEDICATION RELATED
57,NEW APPOINTMENT
58,NEW APPOINTMENT
59,OTHERS
60,MEDICATION RELATED
61,NEW APPOINTMENT
62,REFILL
63,OTHERS
64,CHANGE OF PROVIDER
65,REFILL
66,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
67,NEW APPOINTMENT
68,QUERIES FROM PHARMACY
69,MEDICATION RELATED
70,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
71,MEDICATION RELATED
72,OTHERS
73,REFILL
74,RESCHEDULING
75,MEDICATION RELATED
76,MEDICATION RELATED
77,NEW APPOINTMENT
78,NEW APPOINTMENT
79,LAB RESULTS
80,NEW APPOINTMENT
81,MEDICATION RELATED
82,QUERIES FROM INSURANCE FIRM
83,MEDICATION RELATED
84,MEDICATION RELATED
85,MEDICATION RELATED
86,OTHERS
87,REFILL
88,LAB RESULTS
89,REFILL
90,PROVIDER
91,MEDICATION RELATED
92,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
93,RUNNING LATE TO APPOINTMENT
94,MEDICATION RELATED
95,REFILL
96,NEW APPOINTMENT
97,MEDICATION RELATED
98,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
99,NEW APPOINTMENT
100,MEDICATION RELATED
101,NEW APPOINTMENT
102,REFILL
103,NEW APPOINTMENT
104,REFILL
105,REFILL
106,REFILL
107,OTHERS
108,REFILL
109,PRIOR AUTHORIZATION
110,NEW APPOINTMENT
111,OTHERS
112,NEW APPOINTMENT
113,MEDICATION RELATED
114,MEDICATION RELATED
115,MEDICATION RELATED
116,QUERIES FROM PHARMACY
117,PRIOR AUTHORIZATION
118,LAB RESULTS
119,NEW APPOINTMENT
120,PRIOR AUTHORIZATION
121,NEW APPOINTMENT
122,OTHERS
123,MEDICATION RELATED
124,NEW APPOINTMENT
125,OTHERS
126,NEW APPOINTMENT
127,LAB RESULTS
128,NEW APPOINTMENT
129,MEDICATION RELATED
130,REFILL
131,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
132,NEW APPOINTMENT
133,NEW APPOINTMENT
134,CHANGE OF PROVIDER
135,REFILL
136,OTHERS
137,OTHERS
138,RUNNING LATE TO APPOINTMENT
139,CHANGE OF PROVIDER
140,REFILL
141,NEW APPOINTMENT
142,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
143,MEDICATION RELATED
144,PROVIDER
145,QUERIES FROM PHARMACY
146,REFILL
147,NEW APPOINTMENT
148,QUERIES FROM PHARMACY
149,RUNNING LATE TO APPOINTMENT
150,MEDICATION RELATED
151,OTHERS
152,OTHERS
153,REFILL
154,QUERIES FROM PHARMACY
155,NEW APPOINTMENT
156,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
157,REFILL
158,REFILL
159,MEDICATION RELATED
160,OTHERS
161,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
162,REFILL
163,OTHERS
164,CHANGE OF PROVIDER
165,CHANGE OF PROVIDER
166,MEDICATION RELATED
167,REFILL
168,MEDICATION RELATED
169,NEW APPOINTMENT
170,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
171,NEW APPOINTMENT
172,MEDICATION RELATED
173,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
174,PROVIDER
175,PROVIDER
176,PROVIDER
177,PRIOR AUTHORIZATION
178,NEW APPOINTMENT
179,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
180,NEW APPOINTMENT
181,NEW APPOINTMENT
182,NEW APPOINTMENT
183,REFILL
184,MEDICATION RELATED
185,OTHERS
186,OTHERS
187,NEW APPOINTMENT
188,MEDICATION RELATED
189,MEDICATION RELATED
190,MEDICATION RELATED
191,OTHERS
192,NEW APPOINTMENT
193,MEDICATION RELATED
194,REFILL
195,NEW APPOINTMENT
196,MEDICATION RELATED
197,MEDICATION RELATED
198,NEW APPOINTMENT
199,OTHERS
200,PRIOR AUTHORIZATION
201,MEDICATION RELATED
202,REFILL
203,NEW APPOINTMENT
204,OTHERS
205,MEDICATION RELATED
206,LAB RESULTS
207,REFILL
208,LAB RESULTS
209,MEDICATION RELATED
210,NEW APPOINTMENT
211,REFILL
212,LAB RESULTS
213,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
214,OTHERS
215,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
216,REFILL
217,NEW APPOINTMENT
218,REFILL
219,NEW APPOINTMENT
220,LAB RESULTS
221,QUERIES FROM PHARMACY
222,OTHERS
223,REFILL
224,CHANGE OF PROVIDER
225,LAB RESULTS
226,OTHERS
227,PROVIDER
228,OTHERS
229,MEDICATION RELATED
230,RESCHEDULING
231,PROVIDER
232,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
233,RESCHEDULING
234,PROVIDER
235,MEDICATION RELATED
236,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
237,MEDICATION RELATED
238,NEW APPOINTMENT
239,REFILL
240,REFILL
241,OTHERS
242,REFILL
243,PRIOR AUTHORIZATION
244,PROVIDER
245,LAB RESULTS
246,REFILL
247,OTHERS
248,MEDICATION RELATED
249,QUERIES FROM PHARMACY
250,OTHERS
251,REFILL
252,REFILL
253,OTHERS
254,NEW APPOINTMENT
255,NEW APPOINTMENT
256,OTHERS
257,MEDICATION RELATED
258,MEDICATION RELATED
259,LAB RESULTS
260,MEDICATION RELATED
261,NEW APPOINTMENT
262,OTHERS
263,MEDICATION RELATED
264,MEDICATION RELATED
265,CHANGE OF PROVIDER
266,RUNNING LATE TO APPOINTMENT
267,RESCHEDULING
